# pop-probe 97013 x 1200y on v20 f39e0684 (B-arm, DJUPTID-OVERLEVNAD D-659) — every 40 years; cloud run 2026-09-01 18:2x–20:15Z
year,alive,aggPop,aggregates
40,16,0.0,0
80,43,0.0,0
120,140,0.0,0
160,73,82.9,1
200,60,92.0,1
240,117,84.2,1
280,92,92.7,1
320,127,105.3,1
360,102,109.3,1
400,78,115.9,1
440,90,115.9,1
480,118,116.1,1
520,79,113.5,1
560,22,125.5,1
600,52,131.0,1
640,130,118.9,1
680,99,112.1,1
720,15,124.2,1
760,24,135.5,1
800,65,132.7,1
840,121,115.4,1
880,155,104.2,1
920,116,103.7,1
960,116,110.8,1
1000,103,106.6,1
1040,69,112.2,1
1080,169,104.0,1
1120,152,97.7,1
1160,173,101.1,1
1200,136,100.4,1
# END year=1200 ended=false aggregates=[{"v":"Stenholm","c":[30.6,40,22.8,6.9],"bearers":15}]
# B-97013 SURVIVES: ONE stable city (Stenholm, ~100 souls-eq, y~140-1200) + individual layer oscillating 15-173 — dips to 15 (y720) and recovers. One city leaves enough villages outside to refill the individual layer; two cities (2323/31415) do not.
